kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_time0bk,koi_depth,koi_impact,koi_duration,koi_ror,koi_steff,koi_slogg,koi_srad,ra,dec
9024857,K07124.02,,FALSE POSITIVE,379.11996,267.6893,1107.7,0.483,7.22,0.030977,5546.0,4.575,0.81,292.87848,45.344372
1433962,K00982.01,,FALSE POSITIVE,1.592633181,133.9243804,633.1,0.003,5.5605,0.022007,4506.0,4.626,0.651,291.76196,37.09864
5164255,K00824.01,Kepler-693 b,CONFIRMED,15.37562369,173.61402,15337.0,0.692,3.3169,0.12103,4986.0,4.496,0.833,283.25354,40.358189
4636578,K02025.02,Kepler-350 d,CONFIRMED,26.1363443,131.61796,362.2,0.187,6.613,0.01751,6188.0,4.152,1.465,285.41962,39.706108
8579684,K07594.01,,FALSE POSITIVE,2.08802799,132.08475,70.8,0.9865,24.017,0.010598,6593.0,4.117,1.67,298.20016,44.608501
10723367,K02236.02,Kepler-375 b,CONFIRMED,12.12580644,142.10763,327.5,0.805,3.289,0.018511,5500.0,4.218,1.238,288.61792,48.098412
7288306,K03443.01,Kepler-1503 b,CONFIRMED,96.169569,170.2581,894.5,0.049,7.496,0.026984,5340.0,4.633,0.702,293.72717,42.806759
6629156,K06747.01,,FALSE POSITIVE,0.71538172,131.5505,,,5.0,,,,,297.66974,42.08886
7869917,K01525.02,Kepler-880 c,CONFIRMED,11.8061737,138.2641,88.1,0.905,4.472,0.010108,6900.0,3.843,2.599,281.97125,43.672771
9959545,K04195.01,,FALSE POSITIVE,1.332567643,132.04299,56.7,0.642,4.284,0.007244,5687.0,4.582,0.79,295.22089,46.823879
5816165,K01043.01,,FALSE POSITIVE,0.591914504,355.353791,1057.7,1.344,1.0225,0.380366,5122.0,4.659,0.655,298.20035,41.011688
3834360,K00493.01,,FALSE POSITIVE,2.908453928,170.12474,427.5,1.195,2.5363,0.216097,5786.0,4.558,0.824,286.0705,38.975101
10493253,K08210.01,,FALSE POSITIVE,89.667675,183.036,1415.0,0.324,3.726,0.03388,4742.0,2.099,21.291,299.40509,47.620991
5695396,K00283.01,Kepler-131 b,CONFIRMED,16.09196369,170.598832,415.8,0.546,2.8943,0.019184,5680.0,4.414,1.016,288.53082,40.942299
5812701,K00012.01,Kepler-448 b,CONFIRMED,17.855221681,146.596466,9065.2,0.075,7.41287,0.08815,6823.0,4.308,1.367,297.45374,41.01099
8111919,K02030.01,,FALSE POSITIVE,1.664980224,131.68433,230.8,0.987,1.7455,0.021495,5792.0,4.058,1.567,296.52682,43.960232
9291378,K03776.01,,FALSE POSITIVE,3.796488133,135.15079,3007.6,1.306,11.0659,0.367269,6137.0,4.46,1.018,295.83008,45.789822
11802615,K00296.01,Kepler-513 b,CONFIRMED,28.86236571,178.48498,449.2,0.778,5.4033,0.021303,5725.0,4.326,1.088,285.04169,50.075378
11599264,K01417.01,,FALSE POSITIVE,8.428090255,358.303469,11355.5,6.787,1.881,5.886209,5761.0,4.573,0.805,284.98886,49.62606
8227661,K02826.01,,FALSE POSITIVE,1.85373924,132.66885,348.6,0.551,1.816,0.01786,2661.0,5.283,0.116,289.84772,44.185783
9837720,K08187.01,,FALSE POSITIVE,353.04037,258.7443,239.6,0.431,14.102,0.014198,5061.0,4.635,0.668,294.54276,46.669083
2164169,K01029.01,Kepler-1732 b,CONFIRMED,32.3122867,133.867,677.8,0.934,6.569,0.02967,5821.0,4.108,1.494,292.29099,37.580799
7950644,K00192.01,Kepler-427 b,CONFIRMED,10.290994129,137.0220594,9655.7,0.049,4.28889,0.089546,5803.0,4.134,1.373,288.25458,43.704868
7368664,K00614.01,Kepler-434 b,CONFIRMED,12.874712426,170.022499,3860.7,0.932,2.2491,0.072414,5963.0,4.218,1.424,293.58636,42.928909
11497958,K01422.01,Kepler-296 c,CONFIRMED,5.841636615,135.92315,1336.3,0.026,1.8734,0.033032,3526.0,4.866,0.383,286.54001,49.437328
8733497,K03527.01,,FALSE POSITIVE,76.81985465,188.1256603,229165.0,0.728,5.16249,0.551423,5654.0,4.59,0.774,282.00089,44.96077
1432214,K00998.01,,FALSE POSITIVE,161.78832712,214.039,87750.0,0.267,5.31,0.273088,6018.0,4.327,1.212,291.38269,37.07299
8848115,K07101.01,,FALSE POSITIVE,0.82484293,131.6424,618.6,0.03,1.383,0.021646,4148.0,1.458,41.424,300.99884,45.076019
7868092,K03169.01,,FALSE POSITIVE,180.71809,222.2962,31.2,0.8856,10.85,0.005888,7608.0,4.08,1.991,280.7475,43.601841
5196851,K06539.01,,FALSE POSITIVE,0.541396363,131.5974,181.0,0.0783,2.384,0.012517,7118.0,4.212,1.489,294.54105,40.308029
6525398,K05294.01,,FALSE POSITIVE,252.04444,265.201,1502.0,0.1903,5.13,0.034282,4514.0,4.621,0.664,292.79022,41.948639
6058896,K05233.01,,FALSE POSITIVE,0.56493398,131.787277,2067.0,1.26,2.4385,0.311105,5808.0,4.402,0.898,296.37366,41.39183
12470844,K00790.01,Kepler-233 b,CONFIRMED,8.47237911,174.16212,1123.5,0.022,2.7245,0.030119,5354.0,4.587,0.788,296.36652,51.319519
8013439,K02352.02,Kepler-381 b,CONFIRMED,5.62904396,134.74679,39.5,0.237,3.7295,0.005805,6197.0,3.837,2.188,285.1828,43.831078
6863187,K07794.01,,FALSE POSITIVE,1.99492332,133.4406,77.7,0.772,5.898,0.008828,5957.0,4.498,0.971,291.85974,42.348701
10074700,K05760.01,,FALSE POSITIVE,365.620697,238.984,27188.0,0.4173,32.263,0.152085,5273.0,4.531,0.768,291.62619,47.08123
10351231,K01166.01,Kepler-1738 b,CONFIRMED,7.6746614,133.22431,503.0,0.939,1.9374,0.025638,6063.0,4.47,1.001,296.13141,47.43882
7537945,K06039.01,,FALSE POSITIVE,1.071911311,131.607529,9817.8,1.272,3.8559,0.395786,5885.0,4.413,0.933,294.67804,43.199261
10407482,K04255.01,Kepler-1577 b,CONFIRMED,6.30558387,131.53058,193.1,0.601,2.619,0.013131,4934.0,3.927,1.756,292.95526,47.573101
7117710,K07817.01,,FALSE POSITIVE,0.56679641,131.8085,26.7,0.322,2.324,0.004693,5403.0,4.54,0.888,291.77136,42.671249
4565943,K05070.01,,FALSE POSITIVE,353.36705,412.2698,34.1,0.2481,3.279,0.00548,8892.0,3.592,4.35,292.91196,39.651348
6356207,K02021.01,Kepler-1059 b,CONFIRMED,3.76417012,132.35462,558.4,0.287,2.0111,0.021335,5063.0,4.617,0.728,289.22021,41.706478
7468295,K05394.01,,FALSE POSITIVE,456.5734,228.3838,397.5,0.1768,5.465,0.017864,5002.0,3.216,4.042,297.68704,43.060162
6390824,K01234.01,,FALSE POSITIVE,0.973547911,133.49742,435.7,1.097,2.2858,0.122228,6084.0,4.542,0.863,298.79498,41.759769
10621666,K01636.02,,FALSE POSITIVE,14.5862195,135.2746,202.2,0.0133,2.733,0.013035,5904.0,4.565,0.819,299.06693,47.895191
7094486,K01907.01,Kepler-1009 b,CONFIRMED,11.35010642,134.04612,1221.0,0.035,2.2792,0.031169,3597.0,4.734,0.514,282.85992,42.66576
2437149,K03598.01,,FALSE POSITIVE,18.79862195,138.028268,380204.0,0.524,7.4782,0.633582,5334.0,4.585,0.796,290.20575,37.769138
4275739,K01317.01,,FALSE POSITIVE,2.171827838,355.083686,42086.0,1.323,3.2205,0.601913,5650.0,4.513,0.891,294.77393,39.333839
10027323,K01596.02,Kepler-309 c,CONFIRMED,105.3582299,138.68069,1210.2,0.75,3.81,0.034493,3883.0,4.762,0.496,297.50986,46.961262
5308419,K03887.01,,FALSE POSITIVE,1.241483276,132.10028,141.0,1.227,2.195,0.236943,6140.0,4.394,1.053,299.51083,40.474548
11565924,K02837.01,Kepler-1364 b,CONFIRMED,13.32191461,142.7235,133.5,0.784,6.213,0.011586,6995.0,3.925,2.274,295.15219,49.587601
10619142,K03082.01,,FALSE POSITIVE,2.04516705,132.36168,154.8,0.74,3.625,0.01232,9206.0,4.112,2.157,298.38052,47.836048
9993529,K02644.01,,FALSE POSITIVE,0.790539912,131.87702,277.3,0.008,1.0567,0.014827,4791.0,4.541,0.767,282.40594,46.90448
5894825,K06633.01,,FALSE POSITIVE,1.36293943,132.7485,54.4,1.13,10.32,0.136014,6831.0,3.971,2.106,296.82806,41.192028
8487748,K03905.01,,FALSE POSITIVE,1.061934313,131.72596,607.0,1.218,3.194,0.244939,4304.0,4.675,0.566,288.90912,44.591831
8424002,K03497.01,Kepler-1512 b,CONFIRMED,20.35971899,134.29123,345.7,0.925,2.1521,0.021227,3419.0,4.904,0.344,289.27451,44.470322
9098810,K07132.01,,FALSE POSITIVE,8.258181993,131.5010463,311858.0,0.61,3.9122,0.600079,5306.0,4.445,0.888,295.26965,45.476009
4142847,K02210.01,Kepler-1143 b,CONFIRMED,2.888904439,132.15271,402.2,0.77,1.6043,0.020322,4895.0,4.589,0.759,287.30283,39.289688
5254230,K05999.01,,FALSE POSITIVE,7.035518449,137.950087,2139.0,1.268,3.5286,0.321339,5288.0,4.566,0.71,284.04843,40.408539
9898447,K02803.01,Kepler-1877 b,CONFIRMED,2.37752442,133.39854,32.1,0.256,2.307,0.005152,5615.0,4.505,0.936,294.86688,46.790562
4832225,K04013.01,,FALSE POSITIVE,0.947730124,132.39338,152.5,0.473,1.1171,0.011822,9464.0,4.116,2.184,290.74661,39.91103
4455763,K05061.01,,FALSE POSITIVE,0.766298172,131.687569,19400.9,0.813,1.78462,0.1438,6267.0,4.431,0.996,289.07651,39.570438
8155584,K06979.01,,FALSE POSITIVE,26.0164225,157.37769,41109.0,1.147,4.1768,0.4367,6287.0,4.231,1.28,287.90555,44.01086
7133286,K07581.01,,FALSE POSITIVE,38.51077573,155.594831,84633.4,0.467,38.8558,0.269442,4374.0,4.626,0.635,296.05859,42.669567
10666230,K01295.01,,FALSE POSITIVE,1.577800747,133.307724,697.7,1.332,2.1626,0.356666,6089.0,4.566,0.802,292.08905,47.929642
6962977,K01364.05,Kepler-292 b,CONFIRMED,2.58083264,171.56048,270.2,0.16,2.1729,0.014804,5296.0,4.538,0.808,295.76614,42.424278
4540632,K06422.01,,FALSE POSITIVE,31.005392846,150.8616525,560314.0,0.305,3.073,0.728004,5023.0,3.9,1.784,284.04434,39.661469
5128966,K08098.01,,FALSE POSITIVE,0.505322676,131.542732,77349.2,1.036,5.2727,0.461721,5941.0,4.49,0.924,298.89563,40.28949
10723367,K02236.01,Kepler-375 c,CONFIRMED,19.9865916,135.52265,648.0,0.962,4.391,0.031224,5500.0,4.218,1.238,288.61792,48.098412
12302391,K07519.01,,FALSE POSITIVE,25.321698729,139.687525,119590.0,0.954,4.45367,0.50385,6109.0,4.455,1.029,288.40378,51.073761
8672910,K00918.01,Kepler-725 b,CONFIRMED,39.6431552,206.596798,15663.8,0.062,6.5292,0.111685,5231.0,4.455,0.9,283.97751,44.811562
4247807,K03748.01,,FALSE POSITIVE,2.050435466,133.288776,7765.3,1.275,8.0122,0.386675,5440.0,4.496,0.825,287.16849,39.379581
7906671,K03018.01,,FALSE POSITIVE,45.1178526,156.99133,389.2,0.97,3.737,0.02453,5585.0,4.339,1.038,296.78445,43.619011
7631194,K06896.01,,FALSE POSITIVE,0.811390968,131.8759,139.9,0.345,1.0114,0.010813,4994.0,2.682,12.487,298.05032,43.23317
11242721,K00763.01,,FALSE POSITIVE,19.651209505,179.401981,11766.3,0.723,5.2514,0.106953,6074.0,4.391,1.063,291.0939,48.933842
4365442,K02787.01,,FALSE POSITIVE,1.714410345,131.86549,50.4,0.56,3.336,0.006757,6340.0,3.731,2.498,291.68573,39.42886
5632701,K04213.01,,FALSE POSITIVE,3.67515329,131.681,56.0,0.73,7.083,0.007374,5968.0,4.534,0.881,295.42047,40.842659
8506766,K00138.01,,FALSE POSITIVE,48.93786896,140.76639,7240.1,0.981,6.5868,0.125795,7066.0,4.094,1.761,295.94092,44.57835
8979500,K05594.01,,FALSE POSITIVE,113.556471,186.2321,278.7,0.1828,2.383,0.014868,4842.0,3.167,4.164,299.54834,45.283661
9963524,K00720.01,Kepler-221 c,CONFIRMED,5.69059163,174.04885,1384.3,0.573,2.557,0.035077,5244.0,4.538,0.81,296.65475,46.83527
3937814,K04084.01,Kepler-1549 b,CONFIRMED,214.881456,213.4044,759.2,0.023,9.581,0.024625,5323.0,4.378,0.995,286.05243,39.09605
9334893,K02298.02,Kepler-1178 b,CONFIRMED,31.8055128,150.6791,141.7,0.476,3.979,0.011023,4729.0,4.726,0.525,288.45605,45.80212
9872831,K04230.01,Kepler-1572 b,CONFIRMED,5.49548533,133.63966,85.8,0.202,2.461,0.008542,6157.0,4.159,1.392,281.89731,46.722664
7362450,K07585.01,,FALSE POSITIVE,0.566807422,131.81547,26.1,0.985,5.148,0.006672,5616.0,4.04,1.547,291.68283,42.932812
8263746,K03581.01,,FALSE POSITIVE,10.9938268,138.805226,419208.0,0.471,5.0746,0.649357,4856.0,4.554,0.743,300.78192,44.19405
3324986,K03084.01,,FALSE POSITIVE,1.540411479,131.99239,107.1,0.781,1.703,0.010427,5769.0,4.57,0.812,286.01587,38.411339
9907505,K03427.01,,FALSE POSITIVE,39.206808648,142.4611109,186978.0,0.81,6.24701,0.53388,5945.0,4.545,0.861,297.81793,46.76421
11499228,K02109.01,Kepler-1103 b,CONFIRMED,19.7919389,149.30719,383.7,0.954,3.787,0.022714,6285.0,4.441,1.039,287.38208,49.452389
10191070,K00727.01,,FALSE POSITIVE,1.213745575,170.582782,2012.2,1.246,5.5835,0.300534,4820.0,4.606,0.661,283.8757,47.231918
11193447,K01415.01,,FALSE POSITIVE,0.312941621,133.810501,35262.0,1.1789,2.0646,0.447207,6286.0,4.312,1.188,293.38153,48.82476
10468940,K01163.01,Kepler-273 b,CONFIRMED,2.936527336,135.71829,352.3,0.524,1.771,0.01755,5359.0,4.375,1.002,291.30222,47.697762
8150320,K00904.03,Kepler-55 c,CONFIRMED,42.1406089,139.0604,895.5,0.045,5.083,0.026274,4500.0,4.656,0.646,285.16833,44.026459
4739194,K06442.01,,FALSE POSITIVE,1.246585716,132.0206985,406770.0,0.427,4.62051,0.629216,6440.0,4.369,1.183,289.52148,39.862438
3228824,K01100.01,,FALSE POSITIVE,0.73093905,355.90306,451.1,0.018,2.8437,0.018735,4768.0,4.588,0.711,289.76483,38.35236
4077526,K01336.02,Kepler-58 c,CONFIRMED,15.573637,132.44282,468.1,0.946,5.326,0.02484,6100.0,4.376,1.083,296.35867,39.115189
8367298,K07025.01,,FALSE POSITIVE,5.1348689,134.236,115.8,1.137,48.69,0.147908,5515.0,4.357,1.001,292.4931,44.333439
8285254,K07008.01,,FALSE POSITIVE,7.535894184,137.781231,172126.0,0.644,8.3059,0.420242,4969.0,4.736,0.537,285.56534,44.29525
6889235,K00074.01,,FALSE POSITIVE,5.188671659,125.879388,548.9,0.884,5.0534,0.024519,9523.0,4.205,1.941,298.32425,42.38847
6233483,K03291.01,,FALSE POSITIVE,15.8733803,135.62779,4094.1,0.919,7.4672,0.070791,6161.0,4.276,1.054,299.05002,41.537449
11709022,K07474.01,,FALSE POSITIVE,0.71957289,131.98038,,,1.79,,,,,289.73761,49.858589
6311681,K01122.01,,FALSE POSITIVE,0.844786082,134.216987,2468.5,1.297,3.5289,0.353039,5705.0,4.452,0.915,298.71152,41.635792
8806123,K00523.02,Kepler-177 b,CONFIRMED,36.8567758,138.90683,714.1,0.05,7.495,0.024202,5768.0,4.434,1.015,286.04712,45.053211
6962977,K01364.01,Kepler-292 f,CONFIRMED,20.8341497,186.03921,803.1,0.269,4.522,0.025636,5296.0,4.538,0.808,295.76614,42.424278
10730034,K01305.01,Kepler-285 b,CONFIRMED,2.633852528,134.56431,259.8,0.204,2.0206,0.014432,5114.0,4.463,0.878,291.3909,48.065609
11015323,K00479.01,Kepler-569 b,CONFIRMED,34.18884323,193.38946,1063.2,0.065,5.3278,0.029377,5515.0,4.453,0.925,283.50726,48.552601
3440861,K01219.01,,FALSE POSITIVE,3.50376155,134.6825677,,,3.16,,,,,290.66681,38.568329
2570432,K04946.01,,FALSE POSITIVE,1.89140138,132.6124,557.6,1.222,9.52,0.246923,5504.0,4.466,0.952,290.28079,37.882172
7601918,K04133.01,,FALSE POSITIVE,0.621361411,131.67283,45.0,0.017,1.0628,0.0062,6234.0,4.046,1.66,289.98096,43.299492
5738634,K03951.01,,FALSE POSITIVE,2.40435335,133.22999,70.6,0.746,4.07,0.008326,6103.0,3.568,3.358,299.70813,40.921909
2710623,K04532.01,,FALSE POSITIVE,1.02087831,131.66089,33.4,0.148,2.429,0.005259,5750.0,4.337,1.106,290.89783,37.972778
10975146,K01300.01,Kepler-808 b,CONFIRMED,0.63133171,133.94488,434.5,0.726,1.1487,0.020758,4441.0,4.71,0.53,291.59409,48.44561
5647638,K06611.01,,FALSE POSITIVE,1.21607873,132.4476,29.4,0.991,4.686,0.007028,6234.0,3.741,2.5,298.64252,40.838909
11090556,K02977.01,Kepler-1398 b,CONFIRMED,2.7881793,131.84558,55.8,0.058,3.397,0.006774,5758.0,4.168,1.385,294.86618,48.638981
8890996,K07107.01,,FALSE POSITIVE,1.50650745,132.98683,27.8,0.677,2.622,0.00513,6839.0,4.003,2.02,293.82175,45.10775
8051946,K03038.01,Kepler-1416 b,CONFIRMED,1.4951513,132.66025,52.0,0.974,3.43,0.009063,5635.0,4.117,1.452,298.66348,43.89407
5359678,K06569.01,,FALSE POSITIVE,3.115304946,133.1240488,149524.0,0.89,4.88748,0.519442,6367.0,4.419,1.087,290.95132,40.54797
5008775,K05113.01,,FALSE POSITIVE,52.6727624,178.5395,248.0,0.1764,3.039,0.014484,6184.0,4.448,1.038,291.1084,40.182991
7516073,K05395.01,,FALSE POSITIVE,601.13797,226.686,172.8,0.057,15.26,0.011937,5786.0,4.155,1.388,287.96262,43.132195
4072333,K02731.01,,FALSE POSITIVE,2.007750531,132.57843,352.0,0.42,2.0715,0.017357,5645.0,4.549,0.865,295.33014,39.16254
4579313,K03884.01,,FALSE POSITIVE,2.112405306,132.97515,489.0,1.207,2.5845,0.230297,5562.0,4.601,0.756,296.05884,39.613579
6521542,K06722.01,,FALSE POSITIVE,2.212877035,132.682428,376200.0,0.518,4.66961,0.633509,6153.0,4.405,1.0,291.52811,41.915958
7366258,K00880.01,Kepler-82 b,CONFIRMED,26.44439337,194.12074,1843.5,0.03,3.9783,0.038511,5427.0,4.463,0.929,292.87338,42.966141
10468514,K07331.01,,FALSE POSITIVE,0.84986054,132.0547,6571.5,1.26,1.3875,0.368524,5164.0,3.949,1.676,291.10974,47.61549
9826551,K07965.01,,FALSE POSITIVE,7.19680984,136.63955,50.5,0.27,1.683,0.006582,6325.0,4.112,1.676,289.91638,46.677559
5972334,K00191.02,Kepler-487 d,CONFIRMED,2.418406841,132.505587,665.4,0.018,2.0744,0.023206,5422.0,4.484,0.887,295.28723,41.221958
4852528,K00500.04,Kepler-80 e,CONFIRMED,4.645382149,134.58939,565.5,0.154,2.0271,0.021552,4041.0,4.697,0.567,296.11258,39.978779
4679687,K04049.01,,FALSE POSITIVE,1.027904857,132.444316,2381.2,1.261,1.6381,0.320118,5432.0,4.446,0.872,297.58023,39.702702
8410415,K02291.01,Kepler-1817 b,CONFIRMED,44.2993483,141.28194,797.9,0.614,4.298,0.026848,5316.0,4.459,0.915,282.03329,44.478008
5565707,K04161.01,,FALSE POSITIVE,1.2940561,131.861,51.2,0.394,0.97,0.006749,6635.0,3.092,7.146,299.42017,40.73838
12066335,K00784.02,Kepler-231 b,CONFIRMED,10.06524317,136.28906,1053.3,0.628,1.369,0.031153,4077.0,4.702,0.56,293.97336,50.53191
1433531,K06254.01,,FALSE POSITIVE,567.71329,436.4746,259.4,0.4247,12.85,0.015047,6248.0,3.924,1.996,291.66547,37.076118
6428700,K00853.02,Kepler-242 c,CONFIRMED,14.49645186,143.41659,647.5,0.97,4.016,0.033377,5015.0,4.499,0.826,286.5657,41.808399
7281694,K07584.01,,FALSE POSITIVE,0.566807725,131.7888,31.5,0.155,2.16,0.004986,5018.0,3.953,1.734,291.68167,42.809319
5512513,K07730.01,,FALSE POSITIVE,0.77459856,132.3192077,,,2.71,,,,,283.69891,40.76804
3954227,K03766.01,,FALSE POSITIVE,0.594276199,131.835238,220745.0,4.038,2.0188,3.665677,4756.0,4.603,0.667,291.49286,39.050152
8192427,K05484.01,,FALSE POSITIVE,204.818268,209.59041,303.6,0.346,1.93,0.016197,6060.0,3.65,2.93,299.59756,44.07642
7269881,K02916.01,,FALSE POSITIVE,0.306937807,131.635518,119.2,0.005,0.5925,0.010129,5088.0,4.58,0.741,287.73572,42.823421
3003992,K01119.02,,FALSE POSITIVE,13.55480534,139.81609,48.3,0.497,2.288,0.006462,5370.0,4.494,0.874,294.49011,38.194126
5629353,K06132.02,Kepler-1640 b,CONFIRMED,7.5844241,137.847,1005.0,0.815,3.918,0.032357,6264.0,4.133,1.651,294.55789,40.850498
2707985,K03253.01,,FALSE POSITIVE,1.89127438,132.68059,32.3,0.514,4.491,0.00538,7919.0,3.663,3.46,290.25375,37.92691
3545583,K04328.01,,FALSE POSITIVE,407.59415,273.5955,462.4,0.0274,7.3,0.019805,6198.0,4.402,0.974,291.69104,38.61499
